id,scientific_name,common_name,issue,level,parts,notes,reason
AAA0002,Abelia floribunda,Mexican Abelia,unsupported_level,faint,flower,Flowers very lightly sweet-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0004,Abelia uniflora,Large-Flowered Abelia,unsupported_level,faint,flower,Flowers lightly honey-scented.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0007,Abelmoschus moschatus,Muskseed,non_flower_fragrance_hidden,moderate,seed,Seeds have a rich musky fragrance used in perfumery.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0008,Abies concolor,Balsam Fir,non_flower_fragrance_hidden,moderate,leaf,Fresh citrus-resin scent when needles are crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0009,Abies fraseri,Fraser Fir,non_flower_fragrance_hidden,strong,leaf,"Classic fresh balsam Christmas tree scent, long-lasting.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0010,Abies nordmanniana,Caucasian Fir,non_flower_fragrance_hidden,moderate,leaf,"Mild balsam-citrus scent, milder than Fraser fir.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0010,Abies nordmanniana,Caucasian Fir,level_too_high_for_note,moderate,leaf,"Mild balsam-citrus scent, milder than Fraser fir.",Fragrance note sounds weaker than the stored level.
AAA0022,Achillea clypeolata,Moonshine Yarrow,non_flower_fragrance_hidden,moderate,leaf,Foliage camphor-scented when brushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0023,Achillea filipendulina,Fern-Leaf Yarrow,non_flower_fragrance_hidden,moderate,leaf,"aromatic, pungent",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0024,Achillea millefolium,Common Yarrow,non_flower_fragrance_hidden,moderate,leaf,Pungent camphor-herbal aroma when crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0025,Achillea ptarmica,Sneezewort,non_flower_fragrance_hidden,moderate,leaf,pungent aromatic,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0026,Achillea tomentosa,Yellow Milfoil,non_flower_fragrance_hidden,moderate,leaf,"Foliage sharply aromatic, camphor-and-chrysanthemum scent when rubbed.",Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0027,Achlys triphylla,Vanilla Leaf,non_flower_fragrance_hidden,moderate,leaf,Sweet vanilla-hay scent when dried.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0029,Acorus calamus,Eurasian Sweet-Flag,non_flower_fragrance_hidden,strong,"root,leaf",Rhizomes have a strong sweet-spicy aromatic scent when crushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0030,Actinidia deliciosa,Chinese-Gooseberry,unsupported_level,faint,flower,Mild floral scent.,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0036,Aesculus flava,Yellow Buckeye,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0037,Aesculus glabra,Ohio Buckeye,unsupported_level,faint,leaf,fetid when crushed,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0037,Aesculus glabra,Ohio Buckeye,non_flower_fragrance_hidden,faint,leaf,fetid when crushed,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0038,Aesculus pavia,Red Buckeye,unsupported_level,faint,flower,mild,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0039,Agarista populifolia,Florida Hobblebush,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
AAA0039,Agarista populifolia,Florida Hobblebush,missing_notes,faint,flower,,Non-none fragrance should have notes for the card copy.
AAA0041,Agastache rupestris,Threadleaf Giant Hyssop,non_flower_fragrance_hidden,strong,leaf,Spicy root-beer-and-mint scent when foliage is brushed.,Current FragranceNotesCard only shows when parts contains flower; this scent will be hidden.
AAA0051,Ageratum houstonianum,Bluemink,unsupported_level,faint,flower,,Swift enum/docs support none/light/moderate/strong; data uses unsupported level.
