priority,id,scientific_name,subject,current_level,results,source_statuses,recommendation,evidence,current_notes_en
P0,AAA0075,Allium tuberosum,human,0,conflict_possible_false_safe,toxic,Review: source indicates toxic while YardMate level is 0.,NC State toxic (conflict_possible_false_safe),"All Allium species (onion, garlic, chives) toxic to dogs and cats per ASPCA—cause Heinz-body anemia."
P0,AAA0090,Aloysia citriodora,dog,0,not_checked; conflict_possible_false_safe,no_match; toxic,Review: source indicates toxic while YardMate level is 0.,"ASPCA no_match (none, not_checked); NC State toxic (conflict_possible_false_safe)",Generally regarded as safe.
P0,AAA0382,Crassula perforata,human,0,conflict_possible_false_safe,toxic,Review: source indicates toxic while YardMate level is 0.,NC State toxic (conflict_possible_false_safe),ASPCA lists Crassula genus as toxic to pets.
P0,AAA0437,Dianthus barbatus,human,0,conflict_possible_false_safe,toxic,Review: source indicates toxic while YardMate level is 0.,NC State toxic (conflict_possible_false_safe),Same Dianthus mild toxicity.
P0,AAA0439,Dianthus chinensis,human,0,conflict_possible_false_safe,toxic,Review: source indicates toxic while YardMate level is 0.,NC State toxic (conflict_possible_false_safe),ASPCA lists Dianthus as mildly toxic to dogs and cats.
P0,AAA0440,Dianthus deltoides,human,0,conflict_possible_false_safe,toxic,Review: source indicates toxic while YardMate level is 0.,NC State toxic (conflict_possible_false_safe),ASPCA lists Dianthus as mildly toxic to dogs and cats.
P0,AAA0441,Dianthus gratianopolitanus,human,0,conflict_possible_false_safe,toxic,Review: source indicates toxic while YardMate level is 0.,NC State toxic (conflict_possible_false_safe),ASPCA lists Dianthus as toxic to dogs and cats with mild symptoms.
P0,AAA0462,Dracaena sanderiana,human,0,conflict_possible_false_safe,toxic,Review: source indicates toxic while YardMate level is 0.,NC State toxic (conflict_possible_false_safe),ASPCA lists all Dracaena as toxic to dogs and cats.
P0,AAA0742,Leucanthemum vulgare,cat,0,not_checked; conflict_possible_false_safe,no_match; toxic,Review: source indicates toxic while YardMate level is 0.,"ASPCA no_match (none, not_checked); NC State toxic (conflict_possible_false_safe)",Not listed by ASPCA.
P0,AAA0742,Leucanthemum vulgare,dog,0,not_checked; conflict_possible_false_safe,no_match; toxic,Review: source indicates toxic while YardMate level is 0.,"ASPCA no_match (none, not_checked); NC State toxic (conflict_possible_false_safe)",Not listed by ASPCA.
P0,AAA0886,Nepeta cataria,cat,0,conflict_possible_false_safe; conflict_possible_false_safe,toxic; toxic,Strongly review: multiple sources indicate toxic while YardMate level is 0.,"ASPCA toxic (exact, conflict_possible_false_safe); NC State toxic (conflict_possible_false_safe)","Safe for cats; the behavioral response is a receptor effect, not toxicity. Effective mosquito repellent."
P0,AAA0926,Pachira aquatica,cat,0,aligned; conflict_possible_false_safe,non_toxic; toxic,Review: source indicates toxic while YardMate level is 0.,"ASPCA non_toxic (exact, aligned); NC State toxic (conflict_possible_false_safe)",Sometimes confused with the true Money Plant (Pothos); the trees are unrelated.
P0,AAA1387,Tagetes erecta,human,0,conflict_possible_false_safe,toxic,Review: source indicates toxic while YardMate level is 0.,NC State toxic (conflict_possible_false_safe),Best known as a companion plant that deters soil nematodes; mild topical irritation only.
P0,AAA1438,Tropaeolum majus,cat,0,aligned; conflict_possible_false_safe,non_toxic; toxic,Review: source indicates toxic while YardMate level is 0.,"ASPCA non_toxic (exact, aligned); NC State toxic (conflict_possible_false_safe)",Not listed as toxic by ASPCA. Edible and widely used in culinary applications.
P0,AAA1438,Tropaeolum majus,dog,0,aligned; conflict_possible_false_safe,non_toxic; toxic,Review: source indicates toxic while YardMate level is 0.,"ASPCA non_toxic (exact, aligned); NC State toxic (conflict_possible_false_safe)",Not listed as toxic by ASPCA. Edible and widely used in culinary applications.
P1,AAA0296,Centaurea solstitialis,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Chronic ingestion causes fatal neurological disease in horses; other livestock less affected.
P1,AAA0296,Centaurea solstitialis,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Chronic ingestion causes fatal neurological disease in horses; other livestock less affected.
P1,AAA0481,Echinopsis oxygona,cat,1,not_checked; conflict_possible_overwarning,no_match; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA no_match (none, not_checked); NC State non_toxic (conflict_possible_overwarning)",Not chemically toxic; spines pose mechanical injury risk.
P1,AAA0481,Echinopsis oxygona,dog,1,not_checked; conflict_possible_overwarning,no_match; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA no_match (none, not_checked); NC State non_toxic (conflict_possible_overwarning)",Not chemically toxic; spines pose mechanical injury risk.
P1,AAA0482,Eichhornia crassipes,cat,1,conflict_possible_overwarning; not_checked,non_toxic; no_match,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State no_match (not_checked)",Not prominently listed by ASPCA. Environmental rather than pet toxicity concern.
P1,AAA0482,Eichhornia crassipes,dog,1,conflict_possible_overwarning; not_checked,non_toxic; no_match,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State no_match (not_checked)",Not prominently listed by ASPCA. Environmental rather than pet toxicity concern.
P1,AAA0529,Fatsia japonica,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Not prominently listed by ASPCA; low-level saponin toxicity reported.
P1,AAA0529,Fatsia japonica,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Not prominently listed by ASPCA; low-level saponin toxicity reported.
P1,AAA0615,Hemerocallis minor,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",All Hemerocallis species are severely nephrotoxic to cats per ASPCA.
P1,AAA0629,Hibiscus syriacus,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",ASPCA specifically lists H. syriacus as toxic to dogs; toxicity relatively mild.
P1,AAA0629,Hibiscus syriacus,dog,2,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review severity: source indicates non-toxic but YardMate has moderate/severe warning.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",ASPCA specifically lists H. syriacus as toxic to dogs; toxicity relatively mild.
P1,AAA0678,Ipomoea aquatica,cat,0,conflict_possible_false_safe; not_checked,toxic; no_match,Review: source indicates toxic while YardMate level is 0.,"ASPCA toxic (genus, conflict_possible_false_safe); NC State no_match (not_checked)",Edible leafy vegetable; non-toxic.
P1,AAA0678,Ipomoea aquatica,dog,0,conflict_possible_false_safe; not_checked,toxic; no_match,Review: source indicates toxic while YardMate level is 0.,"ASPCA toxic (genus, conflict_possible_false_safe); NC State no_match (not_checked)",Edible leafy vegetable; non-toxic.
P1,AAA0762,Lilium lancifolium,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",ASPCA: severely nephrotoxic to cats. Bulbs edible for humans when cooked.
P1,AAA0763,Lilium longiflorum,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",One of the most dangerous common houseplants for cats; the specific toxin is still unidentified as of 2025. Dogs are not significantly affected.
P1,AAA0765,Lilium orientalis,dog,1,conflict_possible_overwarning; not_checked,non_toxic; no_match,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State no_match (not_checked)",All true Lilium species are deadly to cats; keep entirely out of households with cats.
P1,AAA0767,Lilium speciosum,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",ASPCA: severely nephrotoxic to cats.
P1,AAA0858,Morus alba,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Ripe fruit safe and nutritious; unripe fruit and sap mildly hallucinogenic.
P1,AAA0858,Morus alba,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (genus, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Ripe fruit safe and nutritious; unripe fruit and sap mildly hallucinogenic.
P1,AAA0864,Muscari armeniacum,cat,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Bulb ingestion may cause GI upset; not ASPCA-listed as high-risk.
P1,AAA0864,Muscari armeniacum,dog,1,conflict_possible_overwarning; conflict_possible_overwarning,non_toxic; non_toxic,Review possible overwarning: source indicates non-toxic but YardMate level is above 0.,"ASPCA non_toxic (exact, conflict_possible_overwarning); NC State non_toxic (conflict_possible_overwarning)",Bulb ingestion may cause GI upset; not ASPCA-listed as high-risk.
